Date,Route,Time,Day,Location,Incident,MinDelay,MinGap,Direction,Vehicle,Month
2022-01-01,325,02:00:00,Saturday,"OVERLEA & THORCLIFFE, Toronto",Diversion,131,161,W,8658,January
2022-01-01,320,02:00:00,Saturday,"YONGE & STEELES, Toronto",Operations - Operator,17,20,S,0,January
2022-01-01,320,02:00:00,Saturday,"YONGE & STEELES, Toronto",Operations - Operator,4,11,S,0,January
2022-01-01,320,02:00:00,Saturday,"YONGE & STEELES, Toronto",Operations - Operator,4,8,S,0,January
2022-01-01,363,02:30:00,Saturday,"KING & SHAW, Toronto",Operations - Operator,30,60,A,0,January
2022-01-01,320,02:30:00,Saturday,"STEELES & YONGE, Toronto",Operations - Operator,4,8,A,0,January
2022-01-01,320,03:00:00,Saturday,"YONGE & STEELES, Toronto",Operations - Operator,4,8,A,0,January
2022-01-01,300,03:30:00,Saturday,"BLOOR & INDIAN, Toronto",Security,17,34,E,8452,January
2022-01-01,47,03:30:00,Saturday,"LANSDOWNE & ST CLAIR, Toronto",Operations - Operator,15,30,S,0,January
2022-01-01,45,04:00:00,Saturday,"DANFORTH & DANFORTH, Toronto",Operations - Operator,30,60,W,1325,January
2022-01-01,32,04:30:00,Saturday,"EGLINTON , Toronto",Operations - Operator,16,33,A,1130,January
2022-01-01,39,04:30:00,Saturday,"FINCHDENE & FINCH, Toronto",Operations - Operator,30,60,W,0,January
2022-01-01,32,05:00:00,Saturday,"RENFORTH , Toronto",Operations - Operator,30,0,E,1073,January
2022-01-01,53,05:00:00,Saturday,"STEELES & BAYVIEW, Toronto",Security,30,60,E,3299,January
2022-01-01,29,05:00:00,Saturday,"DUFFERIN & LAWRENCE, Toronto",Operations - Operator,10,20,A,9149,January
2022-01-01,334,05:00:00,Saturday,"FINCHDENE & FINCH, Toronto",Operations - Operator,33,0,W,8744,January
2022-01-01,25,05:30:00,Saturday,"QUEENS QUAY & YONGE, Toronto",Operations - Operator,3,6,A,0,January
2022-01-01,320,05:30:00,Saturday,"YONGE & STEELES, Toronto",Operations - Operator,4,8,S,0,January
2022-01-01,7,06:00:00,Saturday,"YONGE & WELLINGTON, Toronto",Security,3,6,N,8182,January
2022-01-01,300,06:00:00,Saturday,"KIPLING , Toronto",Emergency Services,10,20,W,3155,January
2022-01-01,36,06:00:00,Saturday,"FINCH & ARROW, Toronto",Mechanical,11,22,E,3503,January
2022-01-01,96,06:30:00,Saturday,"YORK MILLS , Toronto",Operations - Operator,38,76,W,8935,January
2022-01-01,162,07:00:00,Saturday,"DONWAY WEST & LAWREN, Toronto",Operations - Operator,30,60,A,0,January
2022-01-01,35,07:00:00,Saturday,"JANE , Toronto",Operations - Operator,10,20,A,1044,January
2022-01-01,74,07:00:00,Saturday,"ST CLAIR , Toronto",Operations - Operator,23,46,A,0,January
2022-01-01,52,07:30:00,Saturday,"DIXON & WINCOTT, Toronto",Investigation,23,46,E,3564,January
2022-01-01,14,07:30:00,Saturday,"GLENCAIRN & CALEDONI, Toronto",Operations - Operator,11,22,E,0,January
2022-01-01,95,08:00:00,Saturday,"ELLESMERE & MARKHAM, Toronto",Operations - Operator,20,40,A,0,January
2022-01-01,79,08:00:00,Saturday,"PINE ST, Toronto",Operations - Operator,15,30,S,1144,January
2022-01-01,85,08:00:00,Saturday,"SHEPPARD & MARKHAM, Toronto",Operations - Operator,8,16,N,9063,January
2022-01-01,85,08:00:00,Saturday,"SHEPPARD & MARKHAM, Toronto",Operations - Operator,10,20,A,0,January
2022-01-01,20,08:00:00,Saturday,"DANFORTH & DANFORTH, Toronto",Diversion,106,130,W,8512,January
2022-01-01,79,08:30:00,Saturday,"EGLINTON WEST , Toronto",Operations - Operator,27,54,A,1254,January
2022-01-01,29,09:00:00,Saturday,"DUFFERIN & LAWRENCE, Toronto",Operations - Operator,4,9,S,1398,January
2022-01-01,32,09:00:00,Saturday,"EGLINTON & EMMETT, Toronto",Operations - Operator,27,54,A,1103,January
2022-01-01,41,09:00:00,Saturday,"KEELE & EGLINTON, Toronto",Operations - Operator,9,18,N,1203,January
2022-01-01,46,09:00:00,Saturday,"KIPLING , Toronto",Cleaning - Unsanitary,20,40,N,3366,January
2022-01-01,960,09:00:00,Saturday,"STEELES & DUFFERIN, Toronto",Mechanical,10,20,W,8358,January
2022-01-01,42,09:00:00,Saturday,"MCNICOLL & VICTORIA, Toronto",Operations - Operator,20,40,E,3139,January
2022-01-01,25,09:00:00,Saturday,"PAPE & O'CONNOR, Toronto",Mechanical,10,20,S,8635,January
2022-01-01,116,09:30:00,Saturday,"MORNINGSTAR & NIGHTS, Toronto",Operations - Operator,7,15,W,3412,January
2022-01-01,43,10:00:00,Saturday,"MIDL& & SILVER STA, Toronto",Mechanical,10,20,S,3131,January
